taxonomy_id,S1,S2,S3,S4,S5,S6,S7
411483,48981,44929,33046,113974,32798,172688,742645
292800,379887,85681,240966,160749,193658,81377,179910
1550024,333452,42444,19875,187478,40119,7403,30782
2714355,202061,185120,26538,140307,653236,64685,26698
2714353,13042,25122,13407,138739,37864,29660,15383
2093857,83559,54918,206642,239915,296216,66427,45550
2830675,6936,10441,6992,36161,18115,9962,9441
169435,33464,16108,19266,54098,19767,15631,18215
2714358,18137,18357,68449,56297,44769,6721,24328
2763056,11918,11732,9498,46081,10130,10965,15370
214851,8697,13152,3721,94866,17518,2483,10708
438033,2183,3239,1344,3311,2585,2313,6171
2831966,1660,7576,7812,21936,7051,9841,11710
1160721,931,178924,862,22474,59128,3810,70319
1161942,742,3193,793,21261,8519,1091,2360
1264,489,1568,317,6687,1630,986,1312
2564099,383,1728,1291,3802,1534,1926,1409
2766537,600,758,230,4082,1015,419,828
2666138,372,789,236,2975,817,411,966
2994078,366,769,439,2095,807,499,954
2780922,1196,5314,1321,7622,1637,1397,2454
1796620,957,1707,1048,9519,1694,1297,1767
1981510,950,3558,6601,9225,3081,3353,6440
84032,587,401,212,2136,599,1032,487
2576756,485,740,253,4331,1023,534,1252
288965,274,449,118,1349,632,482,644
1515,139,507,217,1390,247,602,555
1677857,95,363,165,923,242,630,662
2507162,454,764,286,3473,1341,578,888
253239,409,823,297,4643,1308,644,1076
1510,346,377,174,1790,577,1053,641
2488810,184,694,137,1534,399,1317,770
1521,108,349,175,642,270,527,600
884684,130,161,70,1697,349,178,261
236753,42,104,35,571,139,136,155
33038,371070,264683,474644,159969,68506,278743,186133
33039,20345,321117,17357,25094,28725,24414,301800
46228,6257,255891,7496,13382,100126,15898,191926
418240,58015,122504,102710,56737,38152,100442,114478
2479767,46996,58879,5213,27315,12703,12742,28745
2877527,2935,3998,3939,4388,2943,4411,7345
2860051,19723,35748,6286,16770,20224,13189,15425
40520,29603,65035,15040,41574,83963,50388,141222
1322,5188,12111,6745,9575,4489,7727,11715
33035,4867,12634,4619,6144,5492,11018,14042
1796616,3959,5807,3115,5451,4083,4321,11388
1912897,3433,7908,6335,7072,5468,6723,9418
2779518,1634,2366,663,2668,1458,2509,3575
1737424,39242,45997,13414,61718,31656,40231,76455
166486,52083,139298,46753,247192,114167,131607,1297116
301301,30592,34267,10679,74892,94328,49895,1163715
2763062,7820,18658,7802,30422,19638,26745,162049
208479,55434,63465,303082,19385,66508,39504,47076
333367,15462,24274,59469,17256,34987,21201,40973
1531,6799,9228,11247,7583,8392,9196,22467
410072,99779,285009,55996,454681,144531,71184,593104
